id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
5SEJ5vZRXERpf7YNePBN3W,Hograte n'ssa ouara,Cheb Bilal,3,0,4,287306,0.684,-6.163,0.865,0.00123,0.19,0.896,0.0372,125.982,26,263,20,14
4IVTB9HNQAJZxWgWyJUW3I,El kes,Cheb Bilal,1,1,4,203760,0.743,-10.525,0.689,0.0,0.216,0.943,0.0718,120.024,26,96822,176,76
4IVTB9HNQAJZxWgWyJUW3I,El kes,Cheb Bilal,1,1,4,203760,0.743,-10.525,0.689,0.0,0.216,0.943,0.0718,120.024,26,96822,176,76
0ucClfFl21t7ZwQjgwTJZ4,Khalata Fa9o Bik,Cheb Bello,11,0,4,385880,0.568,-5.194,0.956,0.0,0.115,0.848,0.188,179.97,26,36898,4,4
5NbsOXZIXALtv4PIfeT8eR,Habibi,Bilal Sghir,5,0,4,260911,0.502,-7.1,0.87,0.0,0.311,0.863,0.0912,184.257,26,1504265,64,35
3BVrtEuoIkmE1qxW7xnMC7,Nti Rouhi Wana Rabi Ijibli,Kader Japonais,4,0,4,567586,0.356,-6.119,0.891,0.000452,0.982,0.638,0.158,171.713,26,13246678,2,2
7Fga9MWKgWn3YnxYETbExN,Jite Lik Touansini,Khaled,8,1,4,382706,0.499,-16.838,0.39,5.94e-05,0.0443,0.332,0.0938,173.411,26,4935690,291,185
2WdVA4u6xVhtbqdL8sFdzd,C'est pas ma faute,Cheb Hasni,1,1,4,353426,0.487,-9.374,0.77,0.174,0.143,0.723,0.0581,147.961,26,123605,304,91
4Z3wvFhRvzGdJXLfoYQMD8,Oula oula,Cheb Bilal,7,0,4,334573,0.707,-6.132,0.88,0.0215,0.158,0.843,0.0416,140.007,26,637473,13,9
02qRgY94UW6Fj1fKMOC9Bk,Tigi Tigi,Cheb Mami,0,0,4,222506,0.847,-5.571,0.845,5.82e-06,0.133,0.679,0.0902,105.001,26,804489,3801,1439
4IVTB9HNQAJZxWgWyJUW3I,El kes,Khaled,1,1,4,203760,0.743,-10.525,0.689,0.0,0.216,0.943,0.0718,120.024,26,9568115,0,0
2Qa9nJO4zIxpGKN5MgX994,Hada raykoum,Cheb Mami,1,1,4,471266,0.316,-14.492,0.375,6.53e-06,0.0752,0.257,0.0414,81.486,26,1525,0,0
4QtqbQ3CpczUwln0tiWmU9,Madamti Fiha Khana,Cheb Bello,2,0,4,369240,0.494,-3.99,0.914,3.9e-06,0.154,0.893,0.118,93.343,26,11470946,6,6
4IVTB9HNQAJZxWgWyJUW3I,El kes,Khaled,1,1,4,203760,0.743,-10.525,0.689,0.0,0.216,0.943,0.0718,120.024,26,9568115,0,0
4gjQw6MOtXH9zdBzMwgFNU,Baïda mon amour,Khaled,10,0,4,338893,0.507,-3.052,0.867,0.0,0.699,0.754,0.112,161.537,25,5603710,3,1
4IzeW1MhwhlRdQml3iUxY4,Mama,Cheb Mami,2,1,4,230400,0.772,-1.774,0.974,3.95e-05,0.139,0.927,0.05,110.199,25,285542,810,289
4gjQw6MOtXH9zdBzMwgFNU,Baïda mon amour,Khaled,10,0,4,338893,0.507,-3.052,0.867,0.0,0.699,0.754,0.112,161.537,25,5603710,3,1
0Qr69avtsN94b1A1y983Fv,Shab el baroud,Khaled,1,1,4,398973,0.365,-13.502,0.813,0.0755,0.0975,0.648,0.0501,132.792,25,2347112,1947,786
41nc851HSXRrzWB1252NbX,3alamni Nsoug,Cheb Bello,11,1,4,228519,0.608,-5.483,0.988,3.55e-06,0.335,0.554,0.164,97.981,25,3424,7,3
5WSSWYHiDVttQQWU6eW9bX,Gaa nabghou drahem gaa,Cheb Bilal,9,0,4,368760,0.708,-4.015,0.948,1.31e-06,0.0997,0.89,0.061,107.986,25,2225559,121,54
5WSSWYHiDVttQQWU6eW9bX,Gaa nabghou drahem gaa,Cheb Bilal,9,0,4,368760,0.708,-4.015,0.948,1.31e-06,0.0997,0.89,0.061,107.986,25,2225559,121,54
4EF7X6Dexh3kZTjzusDRlE,Ntiya waara,Cheb Bilal,7,0,4,359493,0.614,-7.335,0.71,0.0848,0.748,0.746,0.149,100.069,25,221807,12,6
1WfYsjE6kpWh2s6jVu6VgF,Ya El Mima,Khaled,0,0,4,367612,0.707,-13.259,0.567,0.0,0.102,0.835,0.0444,126.71,25,92222,279,176
1NpCgWDsQc62AJCHMjqryF,Sabran (Ya Ghali),Cheb Mami,11,0,4,230560,0.806,-5.786,0.834,1.9e-05,0.213,0.568,0.048,97.002,25,135236,2552,1019
4VK2ds3l1POC0M1wFEiomn,Ana Acheki Liya Wahdi,Warda,8,1,4,398489,0.696,-4.807,0.862,0.0,0.0537,0.577,0.197,94.032,25,1066,0,0
7esiVMBEmilQtEEMp4rY2i,Jdoudna,Cheb Bilal,0,1,3,339373,0.546,-2.791,0.821,0.0,0.14,0.947,0.0841,79.784,25,5274664,138,61
5wtXW12wOJSnqQ3xxa4sx5,Célibataire khir,Cheb Bello,11,0,4,291396,0.603,-5.125,0.909,0.0,0.0974,0.926,0.116,180.035,25,11074,6,4
5WSSWYHiDVttQQWU6eW9bX,Gaa nabghou drahem gaa,Khaled,9,0,4,368760,0.708,-4.015,0.948,1.31e-06,0.0997,0.89,0.061,107.986,25,2225559,0,0
5WSSWYHiDVttQQWU6eW9bX,Gaa nabghou drahem gaa,Khaled,9,0,4,368760,0.708,-4.015,0.948,1.31e-06,0.0997,0.89,0.061,107.986,25,2225559,0,0
3L7mEamgslD5ctb9TgDsoG,Dourouf,Cheb Bilal,4,0,4,336640,0.626,-4.549,0.876,2.85e-06,0.125,0.966,0.12,163.992,25,2008416,57,34
6PsAv8FXsXN2ousaThIg3w,ManemcHiche Maak,Khaled,10,1,4,393026,0.576,-12.906,0.529,0.00671,0.0937,0.667,0.0719,86.762,25,147412,38,26
4gjQw6MOtXH9zdBzMwgFNU,Baïda mon amour,Cheb Hasni,10,0,4,338893,0.507,-3.052,0.867,0.0,0.699,0.754,0.112,161.537,25,5603710,1068,329
4gjQw6MOtXH9zdBzMwgFNU,Baïda mon amour,Cheb Hasni,10,0,4,338893,0.507,-3.052,0.867,0.0,0.699,0.754,0.112,161.537,25,5603710,1068,329
39iN8l3KyD7llI2R02aYLF,Affaire classée,Kader Japonais,10,1,4,232960,0.783,-4.897,0.783,0.0,0.436,0.943,0.278,107.992,24,13536,155,23
2iaql0X9dEqvh4iFobDx0F,Wahran wahran,Cheb Mami,8,0,4,360600,0.651,-11.957,0.658,7.73e-06,0.0479,0.866,0.0341,95.511,24,27337,78,40
3yOQCVrLAa0whyql3V8hed,Chaba bent bladi,Cheb Mami,6,1,4,185493,0.725,-9.568,0.737,0.000126,0.0608,0.962,0.0417,91.374,24,6053,0,0
0GZsk50hpEXAUDzDS9acnW,Goutk Si Fini,Khaled,8,0,4,391106,0.322,-12.812,0.57,2.76e-06,0.679,0.886,0.0754,175.725,24,2393,156,70
0x8At5OxabKDjAO6b5OJ3K,Hayt Yedi Wjib Fiya,Cheb Bello,0,0,4,304822,0.311,-4.723,0.873,0.0,0.289,0.821,0.348,86.793,24,3365995,2,1
7lNWmicHvtiCHnLCBcLZSu,Haoulou,Cheb Mami,11,0,4,254666,0.69,-8.238,0.83,0.000402,0.0909,0.924,0.0436,116.062,24,869217,17446,5530
1dKQlKxbM5JXCfn21dqYAq,Basta,Cheb Bilal,0,1,3,389586,0.458,-4.647,0.931,0.00167,0.0523,0.852,0.0506,104.672,24,2140519,129,47
149aikKZC2Rjrl5lr7ZvrA,Manetzouatchi,Cheb Mami,2,1,3,485645,0.359,-10.077,0.6,0.000498,0.417,0.373,0.039,79.425,24,366718,265,64
2C2KGXhhseQFEMPfw6RtH8,Ghalia mahboubit galbi,Cheb Mami,5,0,4,348506,0.646,-5.271,0.759,1.78e-06,0.0717,0.882,0.0419,153.444,24,885328,117,72
0aY61C6Ecz986wEGVs8NGt,Dayer dayer ghir rayi,Cheb Bilal,8,1,3,321640,0.732,-6.038,0.961,8.94e-05,0.0383,0.915,0.0518,103.502,24,2949900,90,36
2lcMAOzXwZyiC36FNXgub1,Rani Ensoufri,Khaled,6,1,4,377679,0.446,-13.65,0.668,0.00932,0.279,0.767,0.208,137.967,23,1548,21,14
1QpnbrZyGsvU2zq3wdc16z,Salou maana,Cheb Mami,0,1,3,425389,0.413,-17.187,0.376,0.000757,0.141,0.572,0.0595,145.605,23,20529,480,105
4tTPNCsAASENhXML4IHhRh,Machi hassassa,Kader Japonais,4,0,4,580960,0.482,-6.402,0.805,6.91e-05,0.114,0.707,0.0593,177.763,23,15483537,146,19
7h0mafdQYsBkAcHRuHbAdi,لوميك,Cheb Mami,0,0,4,334240,0.305,-3.22,0.87,0.0,0.308,0.791,0.0531,83.521,23,366718,37,21
7erFen7hXIW3UapEICGcCT,Zazar khatr,Cheb Mami,5,0,4,299560,0.594,-5.089,0.907,4.58e-06,0.241,0.719,0.0325,90.006,23,6746867,4,4
6ppE3CB6Yjaf9IC3Qd8vEg,Choufou 9damkom,Cheb Houssem,1,1,4,274688,0.649,-3.924,0.896,0.0,0.0888,0.921,0.0459,176.051,23,2263506,3,3
36wgc25fHpJdLZUtfGrYbf,Ha Djedek - Zahouania,Khaled,10,0,4,439052,0.717,-12.084,0.561,0.0,0.0616,0.794,0.0427,175.459,23,503661,77,21
2hoztTOWmnKvzdL3rpNyYZ,Raha lasseka,Cheb Mourad,2,0,4,488040,0.733,-6.005,0.825,0.000129,0.112,0.933,0.035,91.92,23,10644,28,17
0dWWeC9OefE2sar3qjHXrj,Ntiya 3raditi W Ana Tahat Sahti,Cheb Bello,7,0,4,297560,0.742,-4.946,0.924,0.000356,0.184,0.894,0.0526,96.0,23,339212,1,1
7jp8eRPEI0f7fK8xm7Z1Oy,Rani khalite amana,Cheb Hasni,1,1,4,345546,0.762,-13.748,0.5,1.97e-05,0.0391,0.886,0.239,177.426,23,286573,3550,1729
10Z83SKIrg39m8cO37TOBJ,3adyani Bel gros,Cheb Bello,6,1,4,400509,0.706,-5.614,0.883,0.00121,0.464,0.772,0.0775,92.002,23,22326758,22,3
5XUjfrzuafoPmqI6DdaWFn,Leh) Inshallah,Cheb Mami,5,0,4,223626,0.788,-4.918,0.868,2.48e-06,0.311,0.769,0.0427,100.009,22,589831,1167,516
2N7Z7BlYv02oVEYzHDZaIJ,"Maniche Kima Bekri, Vol. 2",Cheb Bello,5,0,4,626848,0.668,-7.627,0.649,0.0,0.116,0.807,0.217,93.886,22,4256,3,3
4gNOn55ruNchbGpMzLPfq7,Lila Ou Nhar - Zahouania,Khaled,2,0,3,430106,0.724,-16.857,0.432,1.04e-05,0.0645,0.967,0.0367,93.513,22,5434230,84,19
2kBr2GuuM9MqMdK8lKqw7I,Chira ly nabghiha,Cheb Hasni,3,1,4,380533,0.526,-9.377,0.796,0.000612,0.257,0.616,0.102,153.457,22,20616643,729,205
3fQ97kfkjqvDUsztdKatxe,Sanawat Dayaa,Kader Japonais,0,0,4,419359,0.361,-4.723,0.924,0.0,0.144,0.652,0.144,89.167,22,28491677,210,36
