id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views
21BASvqm08fLGQrdS9zzpB,Cheikh Amokrane,Cheikh el Hasnaoui,5,1,4,317493,0.659,-9.44,0.486,0.0152,0.155,0.738,0.042,90.658,0,69068
3LCNjusjJJsHlYZxG0ztaQ,Emmer Rahba,Cheikh el Hasnaoui,9,0,3,406480,0.386,-8.597,0.681,5.27e-06,0.137,0.89,0.192,175.574,0,812
7hTI4FOk2EyjAcZx0kVLph,Jah Arrayis,Cheikh el Hasnaoui,8,0,3,317080,0.376,-8.176,0.52,0.657,0.0742,0.634,0.0651,143.51,0,2168
59vV1Kp2L2KPgDPfgt5Ruh,Elghorba Tehreq,Cheikh el Hasnaoui,6,1,1,167773,0.398,-7.581,0.711,0.0106,0.124,0.865,0.0407,158.4,0,4254
0wE0YAM289qcSDUNChDlaX,Avhri Tsalim Fellas,Cheikh el Hasnaoui,6,0,4,169773,0.707,-9.349,0.522,0.716,0.0996,0.929,0.0329,96.985,0,3549
1XA4e6X2uOGMzzato93wkf,Voulaayoune Thibarkanine,Cheikh el Hasnaoui,11,1,4,173306,0.759,-9.635,0.706,0.0116,0.12,0.962,0.0484,96.425,0,2640
3iLqeVLMB2fyFChnx919Hv,Ayen Ayen,Cheikh el Hasnaoui,8,1,3,184306,0.253,-9.334,0.646,0.917,0.0778,0.58,0.0778,180.504,0,6327
35b5be7MpUilJ8oZOSnGEG,Adhrouhagh,Cheikh el Hasnaoui,6,0,4,174466,0.449,-15.187,0.455,0.897,0.0922,0.847,0.0498,98.111,0,985
3wYtf3Cwr1U4ZbUojcHrId,Athine Hamlagh,Cheikh el Hasnaoui,8,0,4,165413,0.526,-9.667,0.586,0.852,0.235,0.908,0.072,124.117,0,3655
2kO5YTPktu00mLHix0Bj6T,Atuihdayine,Cheikh el Hasnaoui,1,1,3,178920,0.574,-10.258,0.525,0.9,0.101,0.718,0.0909,81.768,0,78
4arIcI0NO6YKssgmxEuebY,Arrouah Arrouah,Cheikh el Hasnaoui,1,1,4,297386,0.582,-11.305,0.496,2.2e-05,0.103,0.798,0.0436,101.777,0,88944
3mhg526QOVyGn3NIwQQW4q,Anda Atsafagh,Cheikh el Hasnaoui,5,1,3,173680,0.648,-8.78,0.759,0.87,0.237,0.93,0.079,154.826,0,1527
5Za7BvH0oHzZjdj0eIuwso,Elghourba,Cheikh el Hasnaoui,10,1,3,199493,0.526,-9.071,0.484,0.881,0.107,0.692,0.0886,80.487,0,747
46Jmp5YcxaE5Cu10h9BtgJ,Enta,Cheikh el Hasnaoui,0,1,4,207386,0.348,-7.84,0.591,0.00161,0.495,0.498,0.0335,148.195,0,319
4lFFxHSLELv0ktPSB9mT95,Aqlagh Nesbeg,Cheikh el Hasnaoui,6,0,4,188213,0.612,-13.062,0.6,0.297,0.375,0.895,0.0383,95.088,0,805
3HKKt76kumkTY0apmWvwTZ,Rouh Aya Hniniou,Cheikh el Hasnaoui,10,1,4,184266,0.617,-12.336,0.464,0.886,0.133,0.604,0.0381,135.863,0,1978
3l6dyS97UPXK5774VhqETJ,Elkas Nelkas,Cheikh el Hasnaoui,4,1,4,174973,0.55,-11.81,0.396,0.37,0.104,0.898,0.0454,181.728,0,1903
6oGbtoZ2HXNAYBEikgon4v,Intess Ma Diesse,Cheikh el Hasnaoui,11,0,4,350826,0.479,-7.507,0.599,0.274,0.208,0.693,0.0934,102.67,0,162
65jw63l8WczSREaAlJFh4X,Allah Allah,Cheikh el Hasnaoui,11,0,3,300440,0.377,-7.864,0.578,0.804,0.152,0.534,0.117,209.148,0,5508
2Ut2nkBoSvu9YUprJibDba,Achou Touai,Cheikh el Hasnaoui,9,1,4,361026,0.428,-7.798,0.638,0.744,0.328,0.685,0.0545,101.602,0,51190
