id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,last_fm_playcount,last_fm_listeners
7C8Ar2cSNWAFzIdeIUCtzh,حبيت اليوم,Kamel Messaoudi,11,0,3,345386,0.374,-4.863,0.83,0.000595,0.258,0.709,0.0323,153.378,0,0,0
322GY1xcQstYulA6dwSQm2,Ya el ghalet,Kamel Messaoudi,2,1,4,429693,0.522,-4.432,0.565,0.000413,0.136,0.761,0.0384,113.637,0,0,0
47JMsaQ3ZkzYu5tQBs8c49,Ya hasra al l'ghram,Kamel Messaoudi,10,0,3,508080,0.481,-6.101,0.543,0.000189,0.122,0.86,0.0504,126.892,0,0,0
6iPLIXHeSH1ZSQiqprTTvP,Rah Ellil,Kamel Messaoudi,5,1,4,374800,0.611,-14.178,0.505,0.0217,0.128,0.968,0.0411,100.976,0,0,0
62ugU4WBi6nSU6VThfvZX7,Ya rayeh,Kamel Messaoudi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.713,0,0,0
5cjBR3B0NDKRZrfuTox0fs,Elli Heb Slahou,Kamel Messaoudi,7,0,4,363973,0.653,-10.411,0.483,6.62e-06,0.428,0.891,0.034,101.708,0,0,0
6PyYmTjPuJccXgYOn9Ehkc,Ma Ikoun Illa Khatrek,Kamel Messaoudi,11,0,4,375426,0.519,-16.197,0.276,0.00452,0.174,0.659,0.0844,97.539,0,0,0
1M5HRwRmRxySiqRHQF2hIS,Ahsabtek men ahle alkhir,Kamel Messaoudi,2,1,4,453613,0.588,-11.096,0.524,0.00319,0.102,0.885,0.0354,111.653,0,0,0
7Jw6x9VHpYgga9NqB02X6b,Hadik El Ghamza,Kamel Messaoudi,2,1,4,361560,0.475,-11.601,0.454,2.7e-05,0.12,0.685,0.097,103.334,0,0,0
0rnvUOYnG9Hl6tEecxUNmU,Ahlefte bimine akbir,Kamel Messaoudi,2,1,3,332466,0.343,-8.741,0.592,0.093,0.0815,0.748,0.0459,179.793,0,0,0
2i86bmyWNkcrA57hPXDPcn,Ache Dani,Kamel Messaoudi,1,1,4,356653,0.568,-8.354,0.426,0.0346,0.105,0.461,0.0316,97.629,0,0,0
3wtOVbVHL9WTPIsn8FHldf,Sir anaker lehssane,Kamel Messaoudi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,0,0,0
2OffCyqORgbP3fCh2QvBWb,Elli Yebki,Kamel Messaoudi,2,1,4,295160,0.583,-3.262,0.75,0.000454,0.361,0.872,0.0328,101.645,0,0,0
3xBpUd8D1FMpAcsqiKRB8H,Kif amali ouhilt,Kamel Messaoudi,3,0,3,282200,0.505,-9.201,0.374,0.00318,0.134,0.928,0.0747,170.126,0,0,0
6KlKwFTSxpn4DEPTezPzcI,Ya bnel ouerchan,Kamel Messaoudi,2,0,3,352680,0.543,-2.002,0.613,0.00511,0.257,0.715,0.0601,148.247,0,0,0
7tB7xkLhlwIagwflvNC3HL,Ya M'hamed,Kamel Messaoudi,2,1,4,563426,0.579,-6.403,0.49,0.0,0.0572,0.653,0.0313,148.742,0,0,0
3qewMtOeBY3mBEbqHjlSHc,كولو الزينت العاصم,Kamel Messaoudi,3,1,4,310933,0.635,-7.076,0.455,0.0308,0.248,0.736,0.0364,108.936,0,0,0
1rdCLCECRZ1oPCTp3pZ6wg,Ya soura jmila,Kamel Messaoudi,2,1,3,344826,0.377,-2.855,0.734,0.0093,0.334,0.959,0.0872,156.539,0,0,0
4n7YbwcVlEBO4neYDtOszu,El bareh,Kamel Messaoudi,2,1,4,308933,0.23,-0.145,0.762,0.00146,0.128,0.605,0.0415,86.251,0,0,0
1gbZuqivhmkPz51vxDMyEc,Sir anaker lehssane,Kamel Messaoudi,5,1,4,723960,0.484,-3.229,0.732,9.17e-06,0.34,0.632,0.0327,97.523,0,0,0
0vSfFqt5wWQKwp5QNpiiHu,Youm l khmisse,Kamel Messaoudi,2,1,3,882066,0.515,-11.419,0.223,0.000211,0.127,0.847,0.0527,113.287,0,0,0
5rYi5PVRIGasw9IIB6VQBT,يا نجوم الليل,Kamel Messaoudi,3,0,3,378720,0.419,-7.83,0.638,5.66e-06,0.274,0.887,0.0554,174.648,0,0,0
477aWdeBchk57a2o6agz4Y,السير اناكر ليسميسان,Kamel Messaoudi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,0,0,0
3anNnEELveYLeOUEYC5kJf,Ah ya ouelfi aàti,Kamel Messaoudi,5,1,3,457693,0.406,-10.003,0.382,0.000778,0.114,0.363,0.0886,82.872,0,0,0
4ClgAj7L3uBue7ibM4qVoK,راحو مقدار,Kamel Messaoudi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,0,0,0
193vhUeBKib4YLBLJEVwIJ,Saadi ya saadi,Kamel Messaoudi,5,1,4,335973,0.402,-7.995,0.685,0.136,0.0981,0.907,0.0371,112.781,0,0,0
37vcLvscZRCMUjpE0zuEr2,ايلي هيب سلاهو,Kamel Messaoudi,7,0,4,363973,0.653,-10.411,0.483,6.62e-06,0.428,0.891,0.034,101.708,0,0,0
1sa8DBHTDUfT0rkrCVd66L,Billah aalik ya rayah,Kamel Messaoudi,8,0,4,280173,0.327,-6.433,0.687,0.04,0.371,0.496,0.0341,104.001,0,0,0
5ZzLqjkwcmIz46a6n8jEVi,Kifeche rah kfeche atbedel,Kamel Messaoudi,2,0,4,410720,0.557,-9.575,0.527,0.000854,0.349,0.667,0.0427,107.97,0,0,0
5U8J8vw2IXHOrSFoPGFzJM,Bahja Bidha,Kamel Messaoudi,11,0,4,357306,0.645,-12.435,0.331,0.0,0.168,0.712,0.0462,101.438,0,0,0
68C2JuQU2zXqfyGO8hGOI4,Ya oulfi Meryem,Kamel Messaoudi,1,1,4,890613,0.558,-10.549,0.408,0.439,0.172,0.513,0.0495,91.495,0,0,0
5rBTEwKnDrzTx4UlHmDbk8,Ache Dani,Kamel Messaoudi,1,1,4,356653,0.569,-8.353,0.425,0.0352,0.105,0.462,0.0314,97.629,0,0,0
1Ukbcox14awiVMfPCBgXGY,H'mama s'maêtha t'ghani,Kamel Messaoudi,1,0,4,496146,0.563,-5.493,0.484,0.0176,0.0885,0.402,0.0474,93.732,0,0,0
